episode:1, reward: -50, mean reward: -9.76, score: -58.53508881726532, epsilon: 0.8855607164166145, total steps: 515
episode:2, reward: -2.7896449785665425, mean reward: -1.42, score: -49.567259052971934, epsilon: 0.8845864640052074, total steps: 550
episode:3, reward: -0.153660911042806, mean reward: -0.95, score: -33.40703367227272, epsilon: 0.8836133475588382, total steps: 585
episode:4, reward: -50, mean reward: -2.95, score: -50.07313849139538, epsilon: 0.8831411004778648, total steps: 602
episode:5, reward: -50, mean reward: -2.6, score: -80.47530682945015, epsilon: 0.8822806326589765, total steps: 633
episode:6, reward: -50, mean reward: -2.82, score: -59.13853329818468, epsilon: 0.8816982400772998, total steps: 654
episode:7, reward: -3.432609668911766, mean reward: -1.18, score: -41.1903657090092, epsilon: 0.8807284912606806, total steps: 689
episode:8, reward: 0.00410417365350213, mean reward: -1.74, score: -60.7385812035634, epsilon: 0.8797598731579696, total steps: 724
episode:9, reward: -0.3858193022233536, mean reward: -0.94, score: -33.039059354564415, epsilon: 0.8787923844507693, total steps: 759
episode:10, reward: -1.234430678044106, mean reward: -0.29, score: -10.25646428022165, epsilon: 0.8778260238222204, total steps: 794
episode:11, reward: 0.6843656655331642, mean reward: -0.86, score: -29.9463896198597, epsilon: 0.8768607899569985, total steps: 829
episode:12, reward: -50, mean reward: -8.14, score: -56.97118761173877, epsilon: 0.8766678782799127, total steps: 836
episode:13, reward: -50, mean reward: -2.81, score: -70.30666580054182, epsilon: 0.8759792753390879, total steps: 861
episode:14, reward: -50, mean reward: -4.62, score: -60.09457497461722, epsilon: 0.8756214285255168, total steps: 874
episode:15, reward: -50, mean reward: -3.5, score: -55.94279853802948, epsilon: 0.8751812144978119, total steps: 890
episode:16, reward: -0.436495262421289, mean reward: -1.09, score: -38.26984027937493, epsilon: 0.8742190644442286, total steps: 925
episode:17, reward: -2.683680518112112, mean reward: -0.45, score: -15.77935612344237, epsilon: 0.8732580362444989, total steps: 960
episode:18, reward: -50, mean reward: -4.37, score: -56.77911326776902, epsilon: 0.8729013683790784, total steps: 973
episode:19, reward: -50, mean reward: -11.62, score: -58.08592132695492, epsilon: 0.872764229579566, total steps: 978
episode:20, reward: -1.869965554158398, mean reward: -0.03, score: -0.979474960283369, epsilon: 0.8718048976974674, total steps: 1013
episode:21, reward: -50, mean reward: -2.71, score: -94.94623917311529, epsilon: 0.8708466843832733, total steps: 1048
episode:22, reward: -50, mean reward: -5.46, score: -54.60090113476454, epsilon: 0.8705731144193392, total steps: 1058
episode:23, reward: -50, mean reward: -2.2, score: -68.26330392468947, epsilon: 0.8697256268117806, total steps: 1089
episode:24, reward: -2.5921424566816427, mean reward: -0.74, score: -25.98637358042282, epsilon: 0.8687698378991104, total steps: 1124
episode:25, reward: -1.4363618937812817, mean reward: -0.73, score: -25.66603659214428, epsilon: 0.8678151634232905, total steps: 1159
episode:26, reward: -50, mean reward: -1.79, score: -55.451000242351626, epsilon: 0.8669705242264952, total steps: 1190
episode:27, reward: -50, mean reward: -1.79, score: -46.62789967464033, epsilon: 0.8662627898347011, total steps: 1216
episode:28, reward: -50, mean reward: -2.89, score: -86.73562505691984, epsilon: 0.8654469350402515, total steps: 1246
episode:29, reward: -50, mean reward: -4.33, score: -56.240745852433776, epsilon: 0.8650936512520832, total steps: 1259
episode:30, reward: -50, mean reward: -8.13, score: -65.06616731489916, epsilon: 0.8648763219236142, total steps: 1267
episode:31, reward: -50, mean reward: -5.74, score: -63.0860681680891, epsilon: 0.8645775887100117, total steps: 1278
episode:32, reward: -50, mean reward: -8.88, score: -53.262507481215465, epsilon: 0.8644146894827354, total steps: 1284
episode:33, reward: -50, mean reward: -6.45, score: -64.46803831445578, epsilon: 0.864143263159808, total steps: 1294
episode:34, reward: -50, mean reward: -4.49, score: -44.85045397906566, epsilon: 0.8638719272972444, total steps: 1304
episode:35, reward: -50, mean reward: -8.27, score: -49.60271968576481, epsilon: 0.8637091691881383, total steps: 1310
episode:36, reward: -50, mean reward: -2.32, score: -44.17153171913489, epsilon: 0.8631939832071004, total steps: 1329
episode:37, reward: -50, mean reward: -4.26, score: -68.23297227756609, epsilon: 0.8627603953830874, total steps: 1345
episode:38, reward: -50, mean reward: -1.8, score: -48.53878636635491, epsilon: 0.8620292400964744, total steps: 1372
episode:39, reward: -50, mean reward: -4.71, score: -51.7905997964929, epsilon: 0.8617315506215114, total steps: 1383
episode:40, reward: -50, mean reward: -9.84, score: -59.01497669058702, epsilon: 0.8615692205449358, total steps: 1389
episode:41, reward: -50, mean reward: -2.61, score: -60.087910848292694, epsilon: 0.8609472559260867, total steps: 1412
episode:42, reward: -50, mean reward: -5.29, score: -89.98529649625044, epsilon: 0.8604878493252255, total steps: 1429
episode:43, reward: -1.0360201922363217, mean reward: 0.41, score: 14.175437898318762, epsilon: 0.8595428315352465, total steps: 1464
